,Reg no.,Name,Incorp-orated,Dissolved,Type
1,1845329,"Hangzhou Jinan Group Limited
杭州濟南集團有限公司",2013-01-01,2017-09-01,"Private, ltd by shares"
2,1845332,"HONG KONG LANGYE TRADING LIMITED
香港朗業貿易有限公司",2013-01-01,2019-03-22,"Private, ltd by shares"
3,1845333,"Respect Talent Technologies (Hong Kong) Limited
敬才科技(香港)有限公司",2013-01-01,,"Private, ltd by shares"
4,1845330,"TIMEL INTERNATIONAL COMPANY LIMITED
泰姆國際有限公司",2013-01-01,,"Private, ltd by shares"
5,1845331,"ZC (International) Limited
智程(國際)有限公司",2013-01-01,,"Private, ltd by shares"
