,Reg no.,Name,Incorp-orated,Dissolved,Type
1,2484200,"ATV Employee Debt 054 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
2,2484201,"ATV Employee Debt 055 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
3,2484202,"ATV Employee Debt 056 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
4,2484203,"ATV Employee Debt 057 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
5,2484204,"ATV Employee Debt 058 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
6,2484205,"ATV Employee Debt 059 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
7,2484206,"ATV Employee Debt 060 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
8,2484207,"ATV Employee Debt 061 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
9,2484208,"ATV Employee Debt 062 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
10,2484209,"ATV Employee Debt 063 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
11,2484210,"ATV Employee Debt 064 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
12,2484217,"ATV Employee Debt 065 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
13,2484218,"ATV Employee Debt 066 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
14,2484219,"ATV Employee Debt 067 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
15,2484220,"ATV Employee Debt 068 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
16,2484221,"ATV Employee Debt 069 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
17,2484222,"ATV Employee Debt 070 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
18,2484223,"ATV Employee Debt 071 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
19,2484224,"ATV Employee Debt 072 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
20,2484225,"ATV Employee Debt 073 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
21,2484226,"ATV Employee Debt 074 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
22,2484227,"ATV Employee Debt 075 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
23,2484228,"ATV Employee Debt 076 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
24,2484229,"ATV Employee Debt 077 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
25,2484230,"ATV Employee Debt 078 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
26,2484231,"ATV Employee Debt 079 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
27,2484232,"ATV Employee Debt 080 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
28,2484233,"ATV Employee Debt 081 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
29,2484234,"ATV Employee Debt 082 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
30,2484235,"ATV Employee Debt 083 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
31,2484236,"ATV Employee Debt 084 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
32,2484237,"ATV Employee Debt 085 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
33,2484238,"ATV Employee Debt 086 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
34,2484239,"ATV Employee Debt 087 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
35,2484240,"ATV Employee Debt 088 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
36,2484241,"ATV Employee Debt 089 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
37,2484242,"ATV Employee Debt 091 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
38,2484243,"ATV Employee Debt 092 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
39,2484244,"ATV Employee Debt 093 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
40,2484245,"ATV Employee Debt 094 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
41,2484246,"ATV Employee Debt 095 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
42,2484247,"ATV Employee Debt 096 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
43,2484248,"ATV Employee Debt 097 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
44,2484249,"ATV Employee Debt 098 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
45,2484250,"ATV Employee Debt 099 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
46,2484251,"ATV Employee Debt 100 Limited",2017-02-11,2018-01-12,"Private, ltd by shares"
47,2484211,"COTTONTRADE LIMITED",2017-02-11,,"Private, ltd by shares"
48,2484212,"GLODAX Group Limited (The)",2017-02-11,,"Private, ltd by shares"
49,2484213,"GOOD ABILITY LIMITED",2017-02-11,2019-11-29,"Private, ltd by shares"
50,2484214,"HKSM Siu Lek Yuen Driving School Limited
香港駕駛學院小瀝源分校有限公司",2017-02-11,,"Private, ltd by shares"
51,2484216,"MAC MAGNUM INTERNATIONAL LIMITED
盈信通用國際有限公司",2017-02-11,,"Private, ltd by shares"
52,2484252,"MC Capital Investment Limited",2017-02-11,2020-07-17,"Private, ltd by shares"
53,2484215,"SITC DANANG SHIPPING COMPANY LIMITED
海豐峴港船務有限公司",2017-02-11,,"Private, ltd by shares"
