,Reg no.,Name,Incorp-orated,Dissolved,Type
1,0001561,"ACME COMPANY, LIMITED (THE)",1938-11-01,1950-07-28,"Private, ltd by shares"
2,0001566,"AMALGAMATED DAIRIES LIMITED",1938-11-25,1956-02-17,"Private, ltd by shares"
3,0001497,"ANTA-M-IXL SELECTION TRUST LIMITED",1938-03-10,1963-11-26,"Private, ltd by shares"
4,0001518,"ARZEDEL LIMITED",1938-05-27,1964-02-28,"Private, ltd by shares"
5,0001487,"BOTTLE SEALS (HONG KONG), LIMITED",1938-01-04,1956-02-17,"Private, ltd by shares"
6,0001573,"CAFE DE CHINE LIMITED",1938-12-24,1956-02-17,"Private, ltd by shares"
7,0001568,"CAMBAY PRINCE STEAMSHIP CO., LIMITED",1938-12-01,,"Private, ltd by shares"
8,0001543,"CENTURY BAKELITE WORKS, LIMITED
時代膠木有限公司",1938-09-01,1968-05-16,"Private, ltd by shares"
9,0001492,"CHI MIN MOTION PICTURE CO. LIMITED",1938-02-18,1990-02-23,"Private, ltd by shares"
10,0001527,"CHINA COAST STEAMSHIP COMPANY, LIMITED",1938-07-14,1956-02-17,"Private, ltd by shares"
11,0001511,"CHINA ENGINEERS STEAMSHIP COMPANY, LIMITED",1938-05-03,1956-02-17,"Private, ltd by shares"
12,0001548,"CHINA LACE COMPANY, LIMITED (THE)
中國花邊有限公司",1938-09-14,1994-07-29,"Private, ltd by shares"
13,0001536,"CHINA PUBLISHERS, LIMITED (THE)",1938-08-19,1956-02-17,"Private, ltd by shares"
14,0001564,"CHIP WONG CO., LIMITED",1938-11-09,1950-06-09,"Private, ltd by shares"
15,0001528,"CHOI CHUN CO., LIMITED (THE)",1938-07-18,2003-03-14,"Private, ltd by shares"
16,0001522,"CHRISTIAN FILM, LIMITED (THE)",1938-06-29,1956-02-17,"Private, ltd by shares"
17,0001571,"CHUNG LEE COMPANY, LIMITED (THE)",1938-12-20,1956-02-17,"Private, ltd by shares"
18,0001537,"COLONIAL FINANCE, LIMITED",1938-08-23,1956-02-17,"Private, ltd by shares"
19,0001556,"COLONIAL NAVIGATION AND TRADING COMPANY, LIMITED (THE)",1938-10-01,1958-07-25,"Private, ltd by shares"
20,0001555,"COUNTRY CLUB (THE)",1938-09-30,1956-02-17,"Private, ltd by shares"
21,0001490,"DUZIN COMPANY, LIMITED (THE)",1938-01-24,1956-02-17,"Private, ltd by shares"
22,0001494,"ESPERANZA COMPANY, LIMITED (THE)",1938-03-03,1939-05-03,"Private, ltd by shares"
23,0001530,"FOOK PONG TRANSPORTATION COMPANY LIMITED (THE)",1938-07-22,1956-02-17,"Private, ltd by shares"
24,0001517,"FRIESLANDCAMPINA (HONG KONG) LIMITED
菲仕蘭(香港)有限公司",1938-05-23,,"Private, ltd by shares"
25,0001557,"HANG LAM CHONG WINE TRADERS, LIMITED",1938-10-03,1995-07-12,"Private, ltd by shares"
26,0001529,"HING LEE AMUSEMENT COMPANY LIMITED",1938-07-21,2003-03-14,"Private, ltd by shares"
27,0001550,"HONG KONG AND KOWLOON REAL ESTATE ASSOCIATION
港九物業商會",1938-09-23,2014-11-07,"Ltd by guarantee"
28,0001542,"HONG KONG ESTATES, LIMITED",1938-08-31,1949-05-23,"Private, ltd by shares"
29,0001541,"HONG KONG MEAT &amp; DAIRY PRODUCE COMPANY, LIMITED",1938-08-31,1941-11-26,"Private, ltd by shares"
30,0001546,"HONG KONG PRESERVED GINGER DISTRIBUTORS, LTD (THE)",1938-09-08,1970-07-25,"Private, ltd by shares"
31,0001539,"HONG KONG RESTAURANT, LIMITED (THE)",1938-08-26,1956-02-17,"Private, ltd by shares"
32,0001538,"HONGKONG SHIPPERS, LIMITED",1938-08-23,1956-02-17,"Private, ltd by shares"
33,0001549,"HOONG FAT INVESTMENT COMPANY, LIMITED (THE)",1938-09-21,1956-02-17,"Private, ltd by shares"
34,0001565,"HSIN YEE COMPANY, LIMITED (THE)",1938-11-10,1956-02-17,"Private, ltd by shares"
35,0001491,"JOANJI SYNDICATE LIMITED",1938-02-15,1957-06-21,"Private, ltd by shares"
36,0001501,"KAM WAH LEATHER MANUFACTURING COMPANY, LIMITED",1938-03-21,1941-08-15,"Private, ltd by shares"
37,0001551,"KIE FUNG YUK, LIMITED (THE)",1938-09-24,,"Private, ltd by shares"
38,0001504,"KOWLOON TRUST, LIMITED",1938-04-04,,"Private, ltd by shares"
39,0001526,"KUM DOR COMPANY, LIMITED",1938-07-12,1940-05-20,"Private, ltd by shares"
40,0001512,"KWOK MAN HING WEAVING &amp; DYEING COMPANY, LIMITED",1938-05-06,1956-02-17,"Private, ltd by shares"
41,0001498,"LADIES RECREATION CLUB",1938-03-11,,"Ltd by guarantee"
42,0001533,"LUEN SING COMPANY, LIMITED (THE)",1938-08-02,1956-12-24,"Private, ltd by shares"
43,0001540,"MOLEX EXPLOSIVES, LIMITED",1938-08-31,1956-02-17,"Private, ltd by shares"
44,0001496,"NAM FAT, LIMITED",1938-03-03,1956-02-17,"Private, ltd by shares"
45,0001534,"NATIONAL SEA-FOOD SPECIALISTS LIMITED (THE)",1938-08-03,1986-03-05,"Private, ltd by shares"
46,0001535,"NEAR EASTERN HOLDINGS, LIMITED",1938-08-11,1989-06-01,"Private, ltd by shares"
47,0001493,"NEW ASIATIC CHEMICAL WORKS, LIMITED (THE)",1938-02-28,1992-01-28,"Private, ltd by shares"
48,0001562,"NORONHA AND COMPANY, LIMITED",1938-11-07,1953-02-12,"Private, ltd by shares"
49,0001545,"ORIENTAL PUBLISHING AND ADVERTISING COMPANY (SOUTH CHINA) LIMITED (THE)",1938-09-07,1956-02-17,"Private, ltd by shares"
50,0001508,"ORIENTAL SOY &amp; CANNING COMPANY LIMITED (THE)",1938-04-22,1974-11-22,"Private, ltd by shares"
51,0001560,"OVERSEA CHINESE INDUSTRIAL DEVELOPMENT CORPORATION, LIMITED",1938-10-28,1952-08-08,"Private, ltd by shares"
52,0001525,"PACIFIC TRADING &amp; NAVIGATION COMPANY, LTD (THE)",1938-07-11,1956-02-17,"Private, ltd by shares"
53,0001559,"PAYNE AND COMPANY, LIMITED",1938-10-19,1956-02-17,"Private, ltd by shares"
54,0001495,"PIONEER COMPANY, LIMITED (d1947-10-24)",1938-03-03,1947-10-24,"Private, ltd by shares"
55,0001488,"POKKA BLUE SEAL (HONG KONG) LIMITED",1938-01-17,2006-07-28,"Private, ltd by shares"
56,0001513,"Q. B. PIGGERIES LIMITED",1938-05-12,1950-05-16,"Private, ltd by shares"
57,0001531,"RELIANCE EMBROIDERY COMPANY LIMITED",1938-07-23,1956-02-17,"Private, ltd by shares"
58,0001554,"RELIANCE MOTORS, LIMITED (d1949-03-08)",1938-06-14,1949-03-08,"Private, ltd by shares"
59,0001510,"SECURITIES, LIMITED",1938-04-30,1956-02-17,"Private, ltd by shares"
60,0001489,"SELINSING CONSOLIDATED MINES, LIMITED",1938-01-20,1956-02-17,"Private, ltd by shares"
61,0001532,"SHENG SHENG COMPANY, LIMITED",1938-08-02,1956-02-17,"Private, ltd by shares"
62,0001523,"SING TAO JIH PAO LIMITED",1938-06-29,1978-03-31,"Private, ltd by shares"
63,0001569,"SINO SEAS COMPANY, LIMITED",1938-12-06,1950-07-28,"Private, ltd by shares"
64,0001570,"SOUTH CHINA IRON WORKS LIMITED (THE)",1938-12-19,1987-02-27,"Private, ltd by shares"
65,0001503,"SOUTHERN TRUST &amp; FINANCE COMPANY, LIMITED (THE)",1938-04-01,2006-09-17,"Private, ltd by shares"
66,0001563,"T. K. LI AND COMPANY LIMITED",1938-11-08,1968-07-26,"Private, ltd by shares"
67,0001509,"TAI LAW SIN BOARDING HOUSE, LIMITED (THE)",1938-04-27,1956-02-17,"Private, ltd by shares"
68,0001521,"TAI PANG SHIPPING COMPANY, LIMITED",1938-06-17,1957-04-11,"Private, ltd by shares"
69,0001524,"TAI WO HING COMPANY, LIMITED",1938-07-08,1948-03-29,"Private, ltd by shares"
