,Reg no.,Name,Incorp-orated,Dissolved,Type
1,0002087,"A. R. BURKILL AND SONS, LIMITED",1946-08-22,1982-01-16,"Private, ltd by shares"
2,0001836,"AIG BANKING INSURANCE SERVICES LIMITED
美亞集團銀行業保險有限公司",1946-04-30,2010-03-08,"Private, ltd by shares"
3,0002138,"AIRCRAFT (CHINA) LIMITED (d1977-07-29)",1946-09-19,1977-07-29,"Private, ltd by shares"
4,0002067,"ALEXANDER CLARK COMPANY (SHANGHAI) LIMITED",1946-08-22,1947-05-01,"Ltd by guarantee"
5,0002062,"ALGAR AND COMPANY, LIMITED",1946-08-22,1953-10-02,"Ltd by guarantee"
6,0001973,"ALMA ESTATES, LIMITED",1946-08-09,1960-04-30,"Ltd by guarantee"
7,0001945,"ANDAR CORPORATION, LIMITED (THE)
安達股份有限公司",1946-10-07,,"Private, ltd by shares"
8,0001948,"ANGLISS HONG KONG FOOD SERVICE LIMITED
安得利香港餐飲有限公司",1946-10-08,,"Private, ltd by shares"
9,0002035,"ANGLO CHINA FINANCE, LIMITED",1946-08-22,1952-08-08,"Ltd by guarantee"
10,0002001,"ANGLO CHINA TRADING COMPANY, LIMITED",1946-08-09,1965-08-31,"Ltd by guarantee"
11,0001976,"ANGLO JAVA ESTATES, LIMITED",1946-08-09,1955-06-24,"Ltd by guarantee"
12,0001974,"ANGLO-DUTCH (JAVA) PLANTATIONS, LIMITED",1946-08-09,1955-10-12,"Ltd by guarantee"
13,0002086,"ANGLO-FRENCH LAND INVESTMENT CO. LIMITED (THE)",1946-08-22,1999-01-05,"Public, ltd by shares"
14,0001971,"ARNHOLD TRUST, LIMITED",1946-08-09,1953-02-18,"Ltd by guarantee"
15,0002150,"ARTS AND CRAFTS LIMITED",1946-09-19,1950-10-06,"Ltd by guarantee"
16,0001839,"ASSOCIATED CHINA TRADERS LIMITED",1946-05-08,1956-01-06,"Private, ltd by shares"
17,0002031,"ASTOR HOUSE HOTEL, LIMITED (THE)",1946-08-09,1952-10-17,"Ltd by guarantee"
18,0002009,"ATKINSON AND DALLAS, LIMITED",1946-08-09,1952-04-10,"Ltd by guarantee"
19,0001871,"AUSTRAL CHINA TRADING COMPANY LIMITED",1946-07-04,1951-10-19,"Private, ltd by shares"
20,0002152,"AUTO PALACE COMPANY LIMITED (THE)",1946-09-19,1964-01-17,"Ltd by guarantee"
21,0002052,"AYER TAWAH RUBBER PLANTATION COMPANY LIMITED (THE)",1946-08-22,1961-02-25,"Private, ltd by shares"
22,0002163,"B.D. TATA AND COMPANY LIMITED",1946-10-25,1990-01-24,"Private, ltd by shares"
23,0001954,"BANK OF KWANGSI LIMITED (THE)",1946-10-14,1957-09-04,"Private, ltd by shares"
24,0001904,"BARNLEY TRADING COMPANY LIMITED",1946-08-14,1950-08-18,"Private, ltd by shares"
25,0001977,"BATU ANAM (JOHORE) RUBBER ESTATES, LIMITED",1946-08-09,1955-06-21,"Ltd by guarantee"
26,0002165,"BOLTONS, LIMITED",1946-10-25,1952-05-09,"Ltd by guarantee"
27,0002157,"BORROWS AND COMPANY LIMITED",1946-09-19,1950-08-25,"Ltd by guarantee"
28,0002081,"BOYES, BASSETT, LIMITED",1946-08-22,1954-02-05,"Ltd by guarantee"
29,0002168,"BRANDT AND RODGERS, LIMITED",1946-10-25,1955-10-28,"Ltd by guarantee"
30,0002142,"BRITISH EGG PACKING AND COLD STORAGE COMPANY LIMITED",1946-09-19,1961-10-13,"Ltd by guarantee"
31,0002201,"BRITISH OXYGEN (HONG KONG) LIMITED",1946-12-30,,"Private, ltd by shares"
32,0002024,"BRITISH WOOLLEN INDUSTRIES (CHINA) LIMITED",1946-08-09,1953-01-15,"Ltd by guarantee"
33,0002120,"BUILDERS AND TRADERS LIMITED",1946-08-22,1954-02-05,"Ltd by guarantee"
34,0002088,"BURKILL TRUSTS, LIMITED",1946-08-22,1954-03-05,"Ltd by guarantee"
35,0002089,"BUTE PLANTATIONS (1913) LIMITED (THE)",1946-08-22,1956-02-22,"Ltd by guarantee"
