,Reg no.,Name,Incorp-orated,Dissolved,Type
1,2540188,"BLAKEROCK ENTERPRISE LIMITED",2017-05-30,2019-11-29,"Private, ltd by shares"
2,2540182,"BRIDGEPATH INVEST LIMITED",2017-05-30,2020-04-17,"Private, ltd by shares"
3,2540191,"CAPECREST INVEST LIMITED",2017-05-30,2020-04-17,"Private, ltd by shares"
4,2540179,"CRYSTAL MANAGEMENT LIMITED (d2020-04-17)",2017-05-30,2020-04-17,"Private, ltd by shares"
5,2540186,"FERROTRADE ASSOCIATES LIMITED",2017-05-30,,"Private, ltd by shares"
6,2540192,"FINTRACK VENTURES LIMITED",2017-05-30,2020-04-17,"Private, ltd by shares"
7,2540185,"FIRSTGLOBE HOLDINGS LIMITED",2017-05-30,2020-04-17,"Private, ltd by shares"
8,2540193,"GARDENROSE INTERNATIONAL LIMITED",2017-05-30,2020-04-17,"Private, ltd by shares"
9,2540180,"GEOFINART DEVELOPMENT LIMITED",2017-05-30,2020-04-17,"Private, ltd by shares"
10,2540187,"INTERSMART DEVELOPMENT LIMITED",2017-05-30,2020-04-17,"Private, ltd by shares"
11,2540181,"LAKECRESCENT SOLUTION LIMITED",2017-05-30,2020-04-17,"Private, ltd by shares"
12,2540194,"MAXGROWTH INVESTMENTS LIMITED",2017-05-30,2020-04-17,"Private, ltd by shares"
13,2540183,"METADOR UNIVERSAL LIMITED",2017-05-30,2020-04-17,"Private, ltd by shares"
14,2540177,"PACIFICBLUE ENTERPRISE LIMITED",2017-05-30,2020-04-17,"Private, ltd by shares"
15,2540190,"ROCKWIN TRADE LIMITED",2017-05-30,2020-04-17,"Private, ltd by shares"
16,2540189,"SMITHWOOD MANAGEMENT LIMITED",2017-05-30,2020-04-17,"Private, ltd by shares"
17,2540184,"TAMARAK VENTURES LIMITED",2017-05-30,2020-04-17,"Private, ltd by shares"
18,2540178,"TOUCH VENTURES LIMITED",2017-05-30,,"Private, ltd by shares"
19,2540195,"WILLOWPATH SOLUTIONS LIMITED",2017-05-30,2020-04-17,"Private, ltd by shares"
