,Reg no.,Name,Incorp-orated,Dissolved,Type
1,0000383,"BAPTISTA, YORK AND COMPANY, LIMITED",1921-07-18,1925-12-11,"Private, ltd by shares"
2,0000420,"CANTON STEAM LAUNDRY, LIMITED (THE)",1921-12-29,1924-05-09,"Private, ltd by shares"
3,0000362,"CANTON TRADING ASSOCIATION LIMITED (THE)",1921-03-04,1935-09-19,"Private, ltd by shares"
4,0000401,"CHINA INDUSTRIAL AND COMMERCIAL TOBACCO COMPANY, LIMITED (THE)",1921-10-20,1924-12-24,"Private, ltd by shares"
5,0000416,"CHINA LAND AND INVESTMENT COMPANY, LIMITED (THE)",1921-12-09,1933-01-03,"Private, ltd by shares"
6,0000385,"CHINA LEATHER COMPANY, LIMITED (THE) (d1922-07-29)",1921-07-26,1922-07-29,"Private, ltd by shares"
7,0000378,"CHINESE ALMANAC ADVERTISING COMPANY, LIMITED (THE)",1921-06-28,1928-10-26,"Private, ltd by shares"
8,0000391,"CHIU ON STEAMSHIP COMPANY, LIMITED (THE)",1921-08-31,1956-02-17,"Private, ltd by shares"
9,0000415,"CHRIS MOLLER COMPANY, LIMITED (THE)",1921-12-06,1922-03-27,"Private, ltd by shares"
10,0000363,"CHUNG YUEN HOTEL COMPANY, LIMITED (THE)",1921-04-13,1930-09-19,"Private, ltd by shares"
11,0000393,"CONNAUGHT AERATED WATER COMPANY, LIMITED",1921-09-15,1992-11-03,"Ltd by guarantee"
12,0000368,"DANISH CHINESE COMMERCIAL COMPANY, LIMITED (THE)",1921-05-03,1924-07-07,"Private, ltd by shares"
13,SO9000082,"DIRECTOR IN HONG KONG OF ST. JOSEPH'S COLLEGE (THE)",1921-11-04,,"Inc by ordinance"
14,0000376,"DRAGON MOTOR CAR COMPANY, LIMITED (THE)",1921-06-13,1956-02-17,"Private, ltd by shares"
15,0002002,"Dunlop International Limited (HK)",1921-06-28,,"Private, ltd by shares"
16,0000375,"ENGINEERS OF CHINA, LIMITED",1921-06-10,1922-08-25,"Private, ltd by shares"
17,0000366,"ENTERPRISE TABACCO COMPANY, LIMITED",1921-04-29,1922-05-02,"Private, ltd by shares"
18,0000390,"EXPORTERS CO-OPERATIVE COMPANY, LIMITED (THE)",1921-08-25,1922-05-12,"Private, ltd by shares"
19,0000386,"EXTREME ORIENT TRADING COMPANY, LIMITED",1921-08-05,1924-06-27,"Private, ltd by shares"
20,0000400,"FRANCO CHINESE TRADING COMPANY, LIMITED",1921-10-15,1932-08-18,"Private, ltd by shares"
21,0000399,"GENERAL EXCHANGE COMPANY, LIMITED (THE)",1921-10-15,1928-07-20,"Private, ltd by shares"
22,0000403,"HEUNG SHAN BRICK MANUFACTURING COMPANY, LIMITED",1921-11-01,1935-04-26,"Private, ltd by shares"
23,0000387,"HING LOONG OIL MANUFACTURING COMPANY, LIMITED (THE)",1921-08-09,1926-11-19,"Private, ltd by shares"
24,0000357,"HOLLAND PACIFIC TRADING COMPANY, LIMITED (THE)",1921-01-13,1925-09-22,"Private, ltd by shares"
25,0000370,"HONG KONG CRICKET CLUB (THE)
香港木球會",1921-05-11,,"Ltd by guarantee"
26,0000380,"HONG KONG FINANCE CORPORATION LIMITED",1921-07-06,2000-06-16,"Private, ltd by shares"
27,0000360,"HONGKONG AMUSEMENTS LIMITED",1921-01-24,1956-02-17,"Private, ltd by shares"
28,0000361,"HONGKONG AND CANTON ICE MANUFACTURING COMPANY, LIMITED (THE)",1921-02-10,1961-01-28,"Private, ltd by shares"
29,0000379,"HONGKONG AND CHINA CAMPHOR REFINING COMPANY, LIMITED (THE)",1921-07-06,1925-02-10,"Private, ltd by shares"
30,0000394,"HONGKONG CHINESE MERCHANT STOCK AND PRODUCE EXCHANGE MART COMPANY, LIMITED (THE)",1921-09-16,1932-12-14,"Private, ltd by shares"
31,0000371,"HONGKONG EXCAVATION PILE DRIVING AND CONSTRUCTION COMPANY, LIMITED (THE)",1921-05-14,1956-02-17,"Private, ltd by shares"
32,0000410,"HONGKONG HIDE &amp; LEATHER COMPANY, LIMITED (THE)",1921-11-14,1931-09-01,"Private, ltd by shares"
33,0000405,"HONGKONG SHAREBROKERS' ASSOCIATION",1921-11-04,1948-11-06,"Ltd by guarantee"
34,0000359,"JDH (CHINA) LIMITED
英和(中國)有限公司",1921-01-24,2007-02-03,"Private, ltd by shares"
35,0000396,"KOWLOON MOTOR BUS COMPANY, LIMITED (THE)",1921-09-24,1950-11-17,"Private, ltd by shares"
36,0000418,"KUNG PING COMMERCIAL AGENCY COMPANY, LIMITED (THE)",1921-12-20,1922-12-22,"Private, ltd by shares"
37,0000374,"KWONG FOOK STEAMSHIP COMPANY, LIMITED (THE)",1921-06-09,1956-02-17,"Private, ltd by shares"
38,0000419,"LEE HONG STEAMSHIP COMPANY, LIMITED (THE)",1921-12-28,1925-05-08,"Private, ltd by shares"
39,0000367,"MIN SUN LON COMPANY, LIMITED",1921-04-30,1925-05-23,"Private, ltd by shares"
40,0000406,"NATIONAL COMMERCIAL COMPANY, LIMITED (THE)",1921-11-05,1974-08-13,"Private, ltd by shares"
41,0000382,"NORTH PRESCRIPTION PHARMACY, LIMITED (THE)",1921-07-14,1923-09-20,"Private, ltd by shares"
42,0000364,"ON TUNG STEAMSHIP COMPANY, LIMITED",1921-04-13,1922-04-24,"Private, ltd by shares"
43,0000404,"PACIFIC BANKING AND EXCHANGE COMPANY, LIMITED (THE)",1921-11-01,1937-05-05,"Private, ltd by shares"
44,0000417,"PEOPLE'S SAVINGS CORPORATION, LIMITED (THE)",1921-12-15,1927-02-25,"Private, ltd by shares"
45,0000392,"PING ON LAND INVESTMENT COMPANY, LIMITED",1921-09-15,1973-05-28,"Private, ltd by shares"
46,0000384,"PO WAH HAT MANUFACTURING COMPANY, LIMITED (THE)",1921-07-23,1927-04-04,"Private, ltd by shares"
47,0000397,"PUI YEUNG LAND INVESTMENT AND LOAN COMPANY, LIMITED",1921-09-28,1956-02-17,"Private, ltd by shares"
48,0000398,"R. CORNEY AND COMPANY, LIMITED
明新有限公司",1921-10-06,,"Private, ltd by shares"
