,Reg no.,Name,Incorp-orated,Dissolved,Type
1,0000229,"BANK OF ASIA LIMITED (THE)",1917-10-05,1919-12-10,"Private, ltd by shares"
2,0000215,"BRISBANE STEAMSHIP COMPANY LTD. (THE)",1917-02-14,1925-09-26,"Private, ltd by shares"
3,0000231,"CHINA AGENCY &amp; TRADING COMPANY OF HONGKONG LIMITED (THE)",1917-11-15,1920-10-13,"Private, ltd by shares"
4,0000230,"CHINA COAST STEAMSHIP COMPANY LTD",1917-10-13,1922-08-22,"Private, ltd by shares"
5,0000218,"CHINA OVERSEAS TRADING COMPANY LTD (d1920-07-23)",1917-03-29,1920-07-23,"Private, ltd by shares"
6,0000225,"CHINESE MERCHANTS BANK LIMITED (THE)",1917-08-11,1950-11-24,"Private, ltd by shares"
7,0000213,"GILMAN AND COMPANY LIMITED
太平洋行有限公司",1917-01-10,,"Private, ltd by shares"
8,0000222,"HING WAH PASTE MANUFACTURING COMPANY LIMITED (THE)",1917-06-09,1927-08-06,"Private, ltd by shares"
9,0000224,"HON MEE COMPANY LIMITED (THE)",1917-07-28,1921-07-26,"Private, ltd by shares"
10,0000220,"HONGKONG CIGAR STORE COMPANY LTD. (THE)",1917-04-12,1927-06-15,"Private, ltd by shares"
11,0000219,"INDUSTRIAL &amp; COMMERCIAL BANK LTD (THE)",1917-03-30,1931-10-28,"Private, ltd by shares"
12,0000217,"KAU LUNG SZE YEUK KAI FONG FERRY COMPANY LIMITED (THE)",1917-02-16,1926-02-18,"Private, ltd by shares"
13,0000223,"KWONG TAI COMPANY LIMITED (d1963-05-15)",1917-07-19,1963-05-15,"Private, ltd by shares"
14,0000226,"LAM YICK STEAMSHIP COMPANY LTD (THE)",1917-08-31,1922-07-21,"Private, ltd by shares"
15,0000232,"LEAR STEAMSHIP COMPANY LIMITED (THE)",1917-12-10,1919-12-18,"Private, ltd by shares"
16,0000233,"LUN SING HING KI COMPANY LTD (THE)",1917-12-11,1936-01-20,"Private, ltd by shares"
17,0000212,"MARTIN AND COMPANY LIMITED (d1926-06-15)",1917-01-10,1926-06-15,"Private, ltd by shares"
18,0000228,"ROTORUA STEAMSHIP COMPANY LTD. (THE)",1917-09-26,1919-06-11,"Private, ltd by shares"
19,0000214,"TAI SUN INSURANCE &amp; BANKING CO. LTD.",1917-02-10,1923-12-01,"Private, ltd by shares"
20,0000227,"TAI YUEN HOTEL COMPANY, LIMITED (THE)",1917-09-22,1927-07-22,"Private, ltd by shares"
21,0000216,"YING LEE COMPANY LIMITED (d1925-10-20)",1917-02-15,1925-10-20,"Private, ltd by shares"
