,Reg no.,Name,Incorp-orated,Dissolved,Type
1,0000492,"ALEX ROSS &amp; COMPANY (CHINA) LIMITED",1923-03-20,1955-03-15,"Private, ltd by shares"
2,0000554,"ALPHA TOWBOAT COMPANY, LIMITED (THE)",1923-12-05,1927-04-29,"Private, ltd by shares"
3,0002064,"ARNHOLD &amp; COMPANY, LIMITED",1923-03-27,,"Private, ltd by shares"
4,0000489,"BANK OF TOI SHAN, LIMITED (THE)",1923-03-03,1924-08-15,"Private, ltd by shares"
5,0000507,"C. AH YING AND COMPANY LIMITED",1923-05-31,2003-04-04,"Private, ltd by shares"
6,0000524,"CANTON NAVIGATION COMPANY, LIMITED (THE)",1923-08-22,1931-01-09,"Private, ltd by shares"
7,0000504,"CHAI YING LAND INVESTMENT COMPANY, LIMITED (THE)",1923-05-23,1926-12-31,"Private, ltd by shares"
8,0000523,"CHEONG ON STEAMSHIP COMPANY, LIMITED (THE)",1923-08-11,1926-12-20,"Private, ltd by shares"
9,0000510,"CHINA GLASS MANUFACTURING COMPANY, LIMITED (THE)",1923-06-18,1926-08-17,"Private, ltd by shares"
10,0000512,"CHINA NAIL MANUFACTURING COMPANY, LIMITED",1923-06-22,1956-02-17,"Private, ltd by shares"
11,0000505,"CHINA SILK AND EMBROIDERY COMPANY, LIMITED (THE)",1923-05-25,1925-02-01,"Private, ltd by shares"
12,0000502,"CHUNG HIN STEAMSHIP COMPANY, LIMITED (THE)",1923-05-05,1938-01-11,"Private, ltd by shares"
13,0000553,"CHUNG KWOK RESTAURANT, LIMITED (THE)",1923-11-30,1929-09-06,"Private, ltd by shares"
14,0000550,"CHUNG MEI GARAGE COMPANY, LIMITED (THE)",1923-11-22,1935-12-07,"Private, ltd by shares"
15,0000514,"COSTA MUSIC COMPANY, LIMITED",1923-07-04,1926-06-04,"Private, ltd by shares"
16,0000544,"DER A WING AND COMPANY (1923) LIMITED",1923-11-09,1956-02-17,"Private, ltd by shares"
17,0000527,"DER A WING AND COMPANY, LIMITED",1923-08-29,1924-08-01,"Private, ltd by shares"
18,0000548,"DICKSON, PARKER AND COMPANY, LIMITED",1923-11-17,1928-02-18,"Private, ltd by shares"
19,SO0000052,"DIRECTORS OF THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF HONG KONG (THE)",1923-06-01,,"Inc by ordinance"
20,0000509,"ENTERPRISE NAVIGATION COMPANY, LIMITED (THE)",1923-06-04,1925-12-24,"Private, ltd by shares"
21,0000536,"FOOK MUN INVESTMENT COMPANY, LIMITED",1923-10-07,1937-07-14,"Private, ltd by shares"
22,0000482,"FU LEE AND COMPANY, LIMITED (THE)",1923-01-25,1925-05-08,"Private, ltd by shares"
23,0000511,"GREAT WESTERN HOTEL COMPANY, LIMITED (THE)",1923-06-21,1928-12-28,"Private, ltd by shares"
24,0000545,"HERBERT DENT AND COMPANY, LIMITED",1923-11-13,1931-02-07,"Private, ltd by shares"
25,0000515,"HING FAT STEAMSHIP COMPANY, LIMITED (THE)",1923-07-05,1926-12-10,"Private, ltd by shares"
26,0000491,"HO MUN TIN LAND INVESTMENT COMPANY, LIMITED",1923-03-19,1952-11-20,"Private, ltd by shares"
27,0000487,"HONG KONG CHIU CHOW CHAMBER OF COMMERCE LIMITED
香港潮州商會有限公司",1923-02-19,,"Ltd by guarantee"
28,0000540,"HONG KONG FERRY (HOLDINGS) COMPANY LIMITED
香港小輪(集團)有限公司",1923-11-05,,"Listed company"
29,0000486,"HONG ON STEAM NAVIGATION COMPANY, LIMITED (THE)",1923-02-14,1931-02-01,"Private, ltd by shares"
30,0000547,"HONGKONG &amp; SOUTH CHINA LAUNCH COMPANY, LIMITED (THE)",1923-11-17,1930-01-24,"Private, ltd by shares"
31,0000475,"HONGKONG AND JAPAN ESTATE COMPANY, LIMITED (THE)",1923-01-02,1930-06-13,"Private, ltd by shares"
32,0000501,"HONGKONG AND KOWLOON TAXICAB COMPANY, LIMITED (THE)",1923-05-01,1928-08-15,"Private, ltd by shares"
33,0000538,"HONGKONG DEVELOPMENT BUILDING &amp; SAVINGS SOCIETY, LIMITED",1923-10-20,1956-02-17,"Private, ltd by shares"
34,0000530,"HONGKONG LIGHTER AND TRANSPORT COMPANY, LIMITED (THE)",1923-09-12,1923-09-19,"Private, ltd by shares"
35,0000555,"HONGKONG MORTGAGE AND SHAREBROKERS COMPANY, LIMITED",1923-12-07,1925-03-13,"Private, ltd by shares"
36,0000525,"HONGKONG TUG AND LIGHTER COMPANY, LIMITED (THE)",1923-08-23,1930-07-28,"Private, ltd by shares"
