,Reg no.,Name,Incorp-orated,Dissolved,Type
1,0001074,"ASIA LANDS LIMITED",1932-04-02,1950-07-07,"Private, ltd by shares"
2,0001098,"BRITISH FILM DISTRIBUTION COMPANY LIMITED (THE)",1932-06-24,1956-02-17,"Private, ltd by shares"
3,0001055,"CHEE WO HONG COMPANY, LIMITED",1932-01-19,1934-03-02,"Private, ltd by shares"
4,0001069,"CHENG SENG HONG, LIMITED",1932-03-16,1956-02-17,"Private, ltd by shares"
5,0001058,"CHEONG WAH CO., LTD.",1932-01-23,1990-12-08,"Private, ltd by shares"
6,0001120,"CHINA ASSOCIATES CORPORATION, LIMITED",1932-10-07,1959-06-12,"Private, ltd by shares"
7,0001100,"CHINA KLINWARES MANUFACTURING CO., LIMITED (THE)",1932-06-27,1956-02-17,"Private, ltd by shares"
8,0001080,"CHINA METAL MANUFACTURING CO., LTD (THE)",1932-04-18,1956-02-17,"Private, ltd by shares"
9,0001099,"CHINA PAINT MANUFACTURING COMPANY, LIMITED (THE)",1932-06-27,1946-11-28,"Private, ltd by shares"
10,0001117,"CHINA SOUND PICTURES COMPANY, LIMITED (THE)",1932-09-24,1956-02-17,"Private, ltd by shares"
11,0001056,"CHINA SPORTS LIMITED (THE)",1932-01-22,1934-10-03,"Private, ltd by shares"
12,0001076,"CHINA SUN LIMITED (THE)",1932-04-05,1937-04-22,"Private, ltd by shares"
13,0001078,"CHINESE MERCHANTS LAND INVESTMENT AND CONSTRUCTION COMPANY, LIMITED (THE)",1932-04-15,1933-10-20,"Private, ltd by shares"
14,0001129,"CHUWA TRADING COMPANY LIMITED",1932-11-28,1956-02-17,"Private, ltd by shares"
15,0001110,"COLEMAN COMMERCIAL COMPANY LIMITED",1932-08-19,1934-07-06,"Private, ltd by shares"
16,0001111,"CONCRETE PRODUCTS, LIMITED",1932-08-23,1968-11-29,"Private, ltd by shares"
17,SO9000013,"DIRECTORS OF THE CHINESE YOUNG MEN'S CHRISTIAN ASSOCIATION OF HONG KONG (THE)",1932-05-27,,"Inc by ordinance"
18,0001107,"ERHES LIMITED",1932-07-22,1934-06-08,"Private, ltd by shares"
19,0001060,"FUNG ON INVESTMENT COMPANY, LIMITED (THE)",1932-01-26,1956-02-17,"Private, ltd by shares"
20,0001070,"GENERAL ESTATES COMPANY, LIMITED",1932-03-21,1938-08-11,"Private, ltd by shares"
21,0001054,"GOLDEN STAR TRADING COMPANY, LIMITED (THE)",1932-01-09,1937-11-14,"Private, ltd by shares"
22,0001105,"H. CONNELL &amp; COMPANY LIMITED
江利洋行有限公司",1932-07-20,1995-09-22,"Private, ltd by shares"
23,0001128,"HANG HING ENAMEL PRODUCTS LIMITED",1932-11-24,1956-02-17,"Private, ltd by shares"
