,Reg no.,Name,Incorp-orated,Dissolved,Type
1,0002012,"BIL (FAR EAST HOLDINGS) LIMITED",1936-06-01,,"Private, ltd by shares"
2,0001406,"CHI MIN ENTERTAINMENT, LIMITED",1936-12-09,1956-02-17,"Private, ltd by shares"
3,0001366,"CHINA COAST TRADERS, LIMITED",1936-03-25,1961-12-01,"Private, ltd by shares"
4,0001399,"CHINA INK AND LACQUER COMPANY, LIMITED (THE)",1936-11-18,1956-02-17,"Private, ltd by shares"
5,0001375,"CHINA RESTAURANT (SHING KEE) LIMITED (THE)",1936-06-15,1956-02-17,"Private, ltd by shares"
6,0001374,"CHINESE CLUB (THE)
華商會所",1936-05-29,,"Ltd by guarantee"
7,0001390,"CHING SUM COMPANY, LIMITED (THE)",1936-10-05,1956-07-16,"Private, ltd by shares"
8,0001391,"CHUEN LEE SHIPPING COMPANY, LIMITED (THE)",1936-10-12,1953-10-27,"Private, ltd by shares"
9,0001407,"COMPTOIR ANGLO CONTINENTAL, LIMITED",1936-12-09,1958-03-04,"Private, ltd by shares"
10,0001409,"DAK LAI COMPANY, LIMITED",1936-12-16,1956-02-17,"Private, ltd by shares"
11,0001385,"DENNIS AND COMPANY, LIMITED",1936-08-11,1981-06-28,"Private, ltd by shares"
12,0001373,"EN LOONG RESTAURANT, LIMITED (THE)",1936-05-27,1986-10-01,"Private, ltd by shares"
13,0001380,"EUROASIA UNIVERSAL COMMERCIAL CORPORATION LIMITED (THE)",1936-07-04,1956-02-17,"Private, ltd by shares"
14,0001363,"FAR EAST SHIPPING COMPANY, LIMITED (THE)",1936-02-01,1951-10-26,"Private, ltd by shares"
15,0001359,"FIREWOOD DEALERS' COMPANY, LIMITED (THE)
柴業商會有限公司",1936-01-11,,"Ltd by guarantee"
16,0001379,"FOGDEN BRISBANE &amp; CO. (HONGKONG) LIMITED",1936-07-03,1950-03-31,"Private, ltd by shares"
17,0001386,"FOREIGN INVESTMENTS LIMITED (d1957-08-09)",1936-08-28,1957-08-09,"Private, ltd by shares"
18,0001412,"HANG LEE INVESTMENT COMPANY, LIMITED (d1956-02-17)",1936-12-22,1956-02-17,"Private, ltd by shares"
19,0001378,"HING YIP AMUSEMENT COMPANY LIMITED",1936-06-29,1950-07-28,"Private, ltd by shares"
20,0001365,"HO HONG COMPANY (CHINA) LIMITED (THE)",1936-03-11,1971-12-31,"Private, ltd by shares"
21,0001400,"HONG KONG MINES, LIMITED",1936-11-18,1969-03-28,"Private, ltd by shares"
22,0001370,"HONGKONG BREWERY AND DISTILLERY LIMITED (THE)",1936-04-29,1950-09-02,"Private, ltd by shares"
23,0001398,"HONGKONG LITHOGRAPHIC COMPANY, LIMITED (THE)",1936-11-14,1952-06-06,"Private, ltd by shares"
24,0001402,"HUNG PHUNG MAI HONG COMPANY (HONG KONG) LIMITED",1936-11-24,1956-02-17,"Private, ltd by shares"
25,0001515,"INTERCONTINENT CORPORATION (CHINA) LIMITED (THE)",1936-06-24,1956-02-17,"Ltd by guarantee"
26,0001397,"INTERNATIONAL INVESTMENT CORPORATION OF HONG KONG LIMITED",1936-11-10,1956-02-17,"Private, ltd by shares"
27,0001381,"INTERNATIONAL INVESTMENTS, LIMITED",1936-07-09,1949-10-28,"Private, ltd by shares"
28,0001377,"KU CHENG TAT SIN TONG OF THE SUN WUI DISTRICT (THE)
新會古井達善堂",1936-06-18,,"Ltd by guarantee"
29,0001396,"KUNG WO LAND INVESTMENT CO., LIMITED (THE)",1936-10-21,1996-08-25,"Private, ltd by shares"
30,0001387,"KWAN TAK PRINTING AND PUBLISHING COMPANY, LIMITED",1936-09-04,1956-02-17,"Private, ltd by shares"
31,0001392,"KWONG CHEUNG HING CO., LIMITED (THE)",1936-10-12,2003-09-05,"Private, ltd by shares"
32,0001362,"KWONG HANG HING COMPANY, LIMITED (THE)",1936-01-23,1962-10-13,"Private, ltd by shares"
33,0001403,"MARSMAN HONG KONG CHINA, LIMITED",1936-11-26,2012-05-16,"Public, ltd by shares"
34,0001384,"METROPOLE ENTERTAINMENT COMPANY LIMITED (THE)",1936-08-08,1956-02-17,"Private, ltd by shares"
35,0001376,"OLD COLONY MINING &amp; DEVELOPMENT COMPANY LIMITED",1936-06-17,1956-02-17,"Private, ltd by shares"
36,0001413,"SASSOON TRUSTEE AND EXECUTOR CORPORATION, LIMITED (THE)",1936-12-29,1954-09-09,"Private, ltd by shares"
37,0001360,"SING KUNG CHO TONG CHARITABLE ASSOCIATION
省躬草堂",1936-01-21,,"Ltd by guarantee"
38,0001388,"SUNNY FARM LIMITED (THE)",1936-09-21,1955-06-06,"Private, ltd by shares"
39,SO0000047,"SUPERIORESS OF THE SISTERS OF THE PRECIOUS BLOOD (THE)",1936-09-16,,"Inc by ordinance"
40,0001404,"SZE TAK TONG COMPANY, LIMITED",1936-12-01,1956-02-17,"Private, ltd by shares"
41,0001389,"TAI MEE COMPANY LIMITED",1936-09-29,1940-02-06,"Private, ltd by shares"
42,0001393,"TIN CHEONG BANKING COMPANY, LIMITED",1936-10-12,1956-02-17,"Private, ltd by shares"
43,0001383,"TIN YIN YAT PO, LIMITED",1936-08-07,1956-02-17,"Private, ltd by shares"
44,0001371,"TING HONG FINANCE COMPANY, LIMITED",1936-05-12,1964-08-13,"Private, ltd by shares"
45,0001368,"TUNG CHUNG COMPANY (HONG KONG) LIMITED",1936-04-09,1956-02-17,"Private, ltd by shares"
46,0001394,"WAH MEE CONSTRUCTION COMPANY, LIMITED (THE)",1936-10-15,1986-04-25,"Private, ltd by shares"
47,0001364,"WAH YING CHEONG COMPANY, LIMITED",1936-03-03,,"Private, ltd by shares"
48,0001401,"WANG HANG MORTGAGE AND LAND INVESTMENT COMPANY, LIMITED (THE)",1936-11-20,1960-07-04,"Private, ltd by shares"
49,0001382,"WESSON COMPANY, LIMITED (THE)",1936-08-07,1938-12-10,"Private, ltd by shares"
50,0001405,"WING NIN LAND INVESTMENT COMPANY LIMITED (THE)",1936-12-03,1975-11-05,"Private, ltd by shares"
51,0001361,"WOH LOK COMPANY, LIMITED",1936-01-23,1941-11-21,"Private, ltd by shares"
52,0001411,"WONG SHU FAN CO., LIMITED",1936-12-16,1957-11-29,"Private, ltd by shares"
53,0001408,"WONG YU HAU COMPANY, LIMITED",1936-12-16,1956-02-17,"Private, ltd by shares"
54,0001410,"WONG YUNG WOON COMPANY LIMITED",1936-12-16,1961-03-09,"Private, ltd by shares"
55,0001369,"YAT SAN PRESS COMPANY, LIMITED",1936-04-18,1956-02-17,"Private, ltd by shares"
56,0001367,"YOENG NAM HIEN &amp; COMPANY, LIMITED",1936-04-01,1973-01-05,"Private, ltd by shares"
