,Reg no.,Name,Incorp-orated,Dissolved,Type
1,0001500,"A. LOPATO SONS LIMITED",1914-04-29,2012-08-10,"Private, ltd by shares"
2,0000150,"CHINA CINEMA COMPANY LTD. (THE)",1914-11-27,1918-06-06,"Private, ltd by shares"
3,0000138,"FOOK WA MORTGAGE AND INVESTMENT CO. LTD (THE)",1914-02-20,1988-06-26,"Private, ltd by shares"
4,0000139,"HEUNG HOI HOTEL COMPANY LTD (THE)",1914-02-23,1924-04-28,"Private, ltd by shares"
5,0000140,"HEUNG ON INSURANCE COMPANY LTD (THE)",1914-04-17,1952-04-05,"Private, ltd by shares"
6,0000148,"HONGKONG &amp; KOWLOON GARAGES LTD. (THE)",1914-11-21,1918-04-18,"Private, ltd by shares"
7,0000141,"HONGKONG CANTON &amp; WEST RIVER TUG AND LIGHTER COMPANY LIMITED (THE)",1914-04-28,1956-02-17,"Private, ltd by shares"
8,0000142,"HONGKONG CENTRAL ESTATE LIMITED (THE)",1914-05-13,1924-04-29,"Private, ltd by shares"
9,0000152,"HONGKONG DAILY PRESS LIMITED (THE)",1914-12-11,1956-02-17,"Private, ltd by shares"
10,0000146,"HUNG TAK LAN COMPANY LIMITED (THE)",1914-10-17,1930-09-19,"Private, ltd by shares"
11,0000147,"KWONG WING COMPANY LIMITED (THE)",1914-11-06,1933-08-31,"Private, ltd by shares"
12,0000137,"MASONIC HALL LIMITED (THE)",1914-01-24,,"Private, ltd by shares"
13,0000144,"REPUBLIC MOTOR BOAT COMPANY, LIMITED (THE)",1914-07-23,2017-01-06,"Private, ltd by shares"
14,0000145,"SINCERE CO. (SHANGHAI) LIMITED (THE)",1914-09-10,1920-04-05,"Private, ltd by shares"
15,0000143,"SISIMAN STEAMSHIP COMPANY LIMITED (THE)",1914-07-15,1926-02-19,"Private, ltd by shares"
16,0000149,"TAI TUNG HOTEL COMPANY LTD. (THE)",1914-11-25,1921-04-30,"Private, ltd by shares"
17,0000153,"WA LEE STEAMSHIP COMPANY LTD (THE)",1914-12-29,1918-10-15,"Private, ltd by shares"
18,0000151,"WING LOONG COMPANY LIMITED (THE)",1914-12-02,1921-06-23,"Private, ltd by shares"
