,Reg no.,Name,Incorp-orated,Dissolved,Type
1,0000322,"ANGLO-CHINESE PROPRIETARY SYNDICATE LIMITED (THE)",1920-05-27,1949-02-25,"Private, ltd by shares"
2,0000343,"ASIA COMMERCIAL &amp; DEVELOPMENT COMPANY, LIMITED (THE)",1920-10-12,1925-12-04,"Private, ltd by shares"
3,0000332,"BANKERS AND COMPANY, LIMITED",1920-07-22,1951-01-12,"Private, ltd by shares"
4,0000323,"BON TON, LIMITED (THE)",1920-06-04,1956-02-17,"Private, ltd by shares"
5,0000310,"CHAI WO YICK STEAMSHIP COMPANY, LIMITED (THE)",1920-01-26,1923-02-09,"Private, ltd by shares"
6,0000316,"CHINA AND AUSTRALIA STEAMSHIP COMPANY, LIMITED",1920-03-31,1924-03-17,"Private, ltd by shares"
7,0000320,"CHINA EXCHANGE AND FINANCE COMPANY, LIMITED (THE)",1920-05-22,1921-11-30,"Private, ltd by shares"
8,0000328,"CHINA METALS &amp; WELDING COMPANY, LIMITED (THE)",1920-07-06,1926-11-19,"Private, ltd by shares"
9,0000314,"CHINA SPECIE BANK, LIMITED (THE)",1920-03-20,1956-02-17,"Private, ltd by shares"
10,0000340,"COLONIAL COMMERCIAL COMPANY, LIMITED",1920-09-25,1928-07-20,"Private, ltd by shares"
11,0000341,"DE SOUSA AND COMPANY, LIMITED",1920-09-28,1937-07-06,"Private, ltd by shares"
12,0000338,"DUNBAR BROTHERS' COMPANY, LIMITED",1920-08-30,1925-07-16,"Private, ltd by shares"
13,0000345,"EASTERN COMMERCIAL COMPANY, LIMITED (THE)",1920-10-25,1956-02-17,"Private, ltd by shares"
14,0000321,"FAITHFUL AND COMPANY, LIMITED",1920-05-22,1922-08-11,"Private, ltd by shares"
15,0000344,"FAR EAST DOLLAR DIRECTORY COMPANY, LIMITED",1920-10-22,1923-01-26,"Private, ltd by shares"
16,0000311,"G. BLUNDELL &amp; COMPANY, LIMITED",1920-01-27,1928-03-01,"Private, ltd by shares"
17,0000339,"GIBB, LIVINGSTON &amp; COMPANY LIMITED
仁記洋行有限公司",1920-09-15,2009-08-13,"Private, ltd by shares"
18,0000319,"GLOBE NAVIGATION COMPANY, LIMITED (THE)",1920-05-15,1924-02-19,"Private, ltd by shares"
19,0000309,"HANG YICK COTTON YARN COMPANY LIMITED (THE)",1920-01-24,1926-10-10,"Private, ltd by shares"
20,0000307,"HONGKONG BOXING ASSOCIATION (THE)",1920-01-19,1937-11-03,"Ltd by guarantee"
21,0000352,"HONGKONG CAMPHOR ESTATES COMPANY, LIMITED (THE)",1920-12-08,1926-08-06,"Private, ltd by shares"
22,0000337,"HONGKONG GARAGE LIMITED (THE)",1920-08-28,1926-05-12,"Private, ltd by shares"
23,0000350,"IMPERIAL CHEMICAL INDUSTRIES (JAPAN) LIMITED",1920-11-23,1980-09-20,"Private, ltd by shares"
24,0000356,"INDUSTRIAL DEVELOPMENT ELROADMILL COMPANY, LIMITED (THE)",1920-12-28,1932-06-24,"Private, ltd by shares"
25,0000317,"ISREAL (CHINA) LIMITED",1920-04-20,1922-06-02,"Private, ltd by shares"
26,0000330,"KAM ON COMPANY, LIMITED (THE)",1920-07-17,1922-03-22,"Private, ltd by shares"
27,0000308,"KELLY AND COMPANY, LIMITED",1920-01-23,1956-02-17,"Private, ltd by shares"
28,0001975,"KENNEDY BURKILL (HONG KONG) LIMITED",1920-03-10,2009-06-17,"Private, ltd by shares"
29,0000313,"KWONG YICK COTTON YARN COMPANY, LIMITED",1920-02-16,1922-05-16,"Private, ltd by shares"
30,0000353,"LAI WAH COMPANY, LIMITED",1920-12-20,1932-07-16,"Private, ltd by shares"
31,0000325,"LEISON AND COMPANY, LIMITED",1920-06-19,1924-04-18,"Private, ltd by shares"
32,0000327,"LEPACK COMPANY, LIMITED",1920-07-03,1928-11-28,"Private, ltd by shares"
