,Reg no.,Name,Incorp-orated,Dissolved,Type
1,0000793,"BERG AND COMPANY, LIMITED (d1956-02-17)",1928-02-17,1956-02-17,"Private, ltd by shares"
2,0000838,"BLUE TAXICABS LIMITED (THE)",1928-11-08,,"Private, ltd by shares"
3,0000794,"CANADIAN AMERICAN NAVIGATION COMPANY, LIMITED",1928-02-29,1933-10-20,"Private, ltd by shares"
4,0000811,"CASTLE PEAK CERAMIC COMPANY, LIMITED",1928-05-18,1950-11-24,"Private, ltd by shares"
5,0000798,"CHEONG HING STEAMSHIP COMPANY, LIMITED",1928-03-24,1952-03-24,"Private, ltd by shares"
6,0000830,"CHINA CORPORATION LIMITED (THE) (d1937-04-26)",1928-09-19,1937-04-26,"Private, ltd by shares"
7,0000850,"CHINA NEW ERA SHIPPING COMPANY LIMITED (THE)",1928-12-19,1933-02-22,"Private, ltd by shares"
8,0000852,"CHINA OIL CORPORATION LIMITED",1928-12-28,1956-02-17,"Private, ltd by shares"
9,0000796,"CHINA RUBBER TYRE COMPANY, LIMITED (THE)",1928-03-07,1938-04-13,"Private, ltd by shares"
10,0000819,"CHINA TRIBUNE LIMITED (THE)",1928-07-24,1933-12-29,"Private, ltd by shares"
11,0000787,"CHINESE GRAMOPHONE RECORDINGS, LIMITED",1928-01-09,1932-08-26,"Private, ltd by shares"
12,0000810,"CHINESE RESTAURANT LIMITED (THE)",1928-05-17,1956-02-17,"Private, ltd by shares"
13,0000847,"CHINESE WORLD TOUR COMPANY LIMITED (THE)",1928-12-10,1931-07-31,"Private, ltd by shares"
14,0000844,"CHIU SENG INSURANCE COMPANY, LIMITED (THE)",1928-11-21,1936-08-19,"Private, ltd by shares"
15,0000788,"CHUNG SHUN LAND INVESTMENT COMPANY, LIMITED (THE)
忠信房地產發展有限公司",1928-01-16,,"Private, ltd by shares"
16,0000799,"EASTERN TRADERS LIMITED (d1939-06-23)",1928-04-03,1939-06-23,"Private, ltd by shares"
17,0000848,"F. HOWARD KEW AND COMPANY LIMITED",1928-12-14,1930-10-08,"Private, ltd by shares"
18,0000802,"FAI CHING COMPANY, LIMITED (THE)",1928-04-10,1937-03-19,"Private, ltd by shares"
19,0000789,"FOOK YUET STEAMSHIP COMPANY, LIMITED (THE)",1928-02-08,1931-09-25,"Private, ltd by shares"
20,0000800,"GREAT CENTRAL FOUNDRY LIMITED (THE)",1928-04-05,1934-10-19,"Private, ltd by shares"
21,0000790,"GREAT CHINA HOTEL COMPANY, LIMITED (THE)",1928-02-10,1954-12-31,"Private, ltd by shares"
22,0000814,"GREYHOUND RACING AND ENTERTAINING COMPANY, LIMITED (THE)",1928-06-06,1929-09-27,"Private, ltd by shares"
23,0000833,"HALL, LAW AND COMPANY (1928) LIMITED",1928-10-05,1935-04-29,"Private, ltd by shares"
24,0000797,"HANG TAI BANK LIMITED (THE)",1928-03-19,1936-12-28,"Private, ltd by shares"
25,0000837,"HONG KONG AND NEW TERRITORIES FERRY COMPANY, LIMITED (THE)",1928-11-06,1956-02-17,"Private, ltd by shares"
26,0000851,"HONG KONG GENERAL CHAMBER OF COMMERCE (THE)
香港總商會",1928-12-12,,"Ltd by guarantee"
27,0000827,"HONG KONG WO PING AMUSEMENT COMPANY, LIMITED (THE)",1928-09-06,1930-11-28,"Private, ltd by shares"
28,0000809,"HONG YUEN COMPANY, LIMITED (THE)",1928-05-15,1956-09-07,"Private, ltd by shares"
29,0000832,"HONGKONG AND KOWLOON CINEMA COMPANY LIMITED",1928-10-03,1950-04-30,"Private, ltd by shares"
30,0000823,"HOP FAT COMPANY LIMITED (THE)",1928-08-04,1930-01-28,"Private, ltd by shares"
31,0000846,"HOP YICK TINFOIL MANUFACTURING COMPANY LIMITED (THE)",1928-12-05,1931-10-22,"Private, ltd by shares"
32,0000840,"INDUSTRIAL AND COMMERCIAL DAILY PRESS LIMITED (THE)",1928-11-10,1996-12-26,"Private, ltd by shares"
33,0000803,"INSTONE TRADING LIMITED",1928-04-17,1930-09-05,"Private, ltd by shares"
34,0000783,"JACK A TAI &amp; COMPANY, LIMITED",1928-01-03,1931-05-22,"Private, ltd by shares"
35,0000845,"KUNG YICK LOONG LAN COMPANY LIMITED (THE)",1928-11-22,1956-02-17,"Private, ltd by shares"
36,0000805,"KWOK TAI TOBACCO COMPANY, LIMITED (THE)",1928-04-19,1929-08-12,"Private, ltd by shares"
37,0000836,"KWOK TUNG BANKING COMPANY, LIMITED (THE)",1928-10-23,1956-02-17,"Private, ltd by shares"
38,0000784,"KWONG SHING CHEONG SANDALWOOD ASSOCIATION LIMITED (THE)",1928-01-03,1936-02-05,"Private, ltd by shares"
39,0000815,"MAN WAH PRINTING COMPANY, LIMITED (THE)",1928-06-08,1931-09-08,"Private, ltd by shares"
40,0000804,"MING YUEN RECREATION GARDEN WING FAT COMPANY, LIMITED (THE)",1928-04-18,1930-08-22,"Private, ltd by shares"
41,0000839,"NAM CHUNG PO LIMITED (THE)",1928-11-10,1956-02-17,"Private, ltd by shares"
42,0000824,"NEW TAXI COMPANY, LIMITED (THE)",1928-08-21,1934-11-02,"Private, ltd by shares"
43,0000826,"OI KWAN LIFE ASSURANCE COMPANY, LIMITED (THE)",1928-09-04,1952-12-23,"Private, ltd by shares"
44,0000785,"ORIENTAL INVESTMENT COMPANY, LIMITED (THE)",1928-01-04,1977-04-08,"Private, ltd by shares"
45,0000825,"PING ON ACCIDENT INSURANCE COMPANY, LIMITED (THE)",1928-08-30,1931-01-23,"Private, ltd by shares"
46,0000812,"PING ON BAUDIT RISK INSURANCE COMPANY, LIMITED (THE)",1928-05-22,1929-09-20,"Private, ltd by shares"
47,SO9000078,"SECRETARY FOR HOME AFFAIRS INCORPORATED (THE)",1928-04-10,,"Inc by ordinance"
48,0000841,"SING PING COMPANY, LIMITED (THE)",1928-11-10,1931-01-13,"Private, ltd by shares"
49,0000801,"SINO PORTUGUESE NAVIGATION COMPANY, LIMITED (THE)",1928-04-10,1929-08-07,"Private, ltd by shares"
50,0000831,"SINOPHONE COMPANY, LIMITED",1928-10-01,1935-09-30,"Private, ltd by shares"
51,0000817,"SOUTH CHINA DYEING AND WEAVING WORKS, LTD. (THE)",1928-06-15,1929-01-18,"Private, ltd by shares"
52,0000816,"SOUTH CHINA TRADE PROTECTION ASSOCIATION, LIMITED",1928-06-09,1930-07-04,"Private, ltd by shares"
53,0000849,"SPORTS CLUB (THE)
五陵會",1928-12-18,,"Ltd by guarantee"
54,0000807,"ST. FRANCIS HOTEL, LIMITED",1928-04-30,1934-01-27,"Private, ltd by shares"
55,0000813,"TAI TUNG MATCH COMPANY, LIMITED",1928-05-23,1937-02-10,"Private, ltd by shares"
56,0000821,"TAT KWONG PRINTING COMPANY, LIMITED (THE)",1928-07-26,1930-08-08,"Private, ltd by shares"
57,0000835,"TATE &amp; LYLE COMMODITIES (FAR EAST) LIMITED",1928-10-12,1992-08-25,"Private, ltd by shares"
58,0000820,"TUNG WO STEAMSHIP COMPANY, LIMITED (THE)",1928-07-25,1933-02-10,"Private, ltd by shares"
59,0000843,"UNION BANK, LIMITED",1928-11-20,1931-01-02,"Private, ltd by shares"
60,0000822,"WAH LOONG COMPANY, LIMITED",1928-07-26,1936-08-30,"Private, ltd by shares"
61,0000792,"WALLACE HARPER &amp; COMPANY, LIMITED (d1949-12-17)",1928-02-17,1949-12-17,"Private, ltd by shares"
62,0000806,"WANG HONG STEAMSHIP COMPANY, LIMITED (THE)",1928-04-30,1930-08-08,"Private, ltd by shares"
63,0000791,"WING FUNG HONG COMPANY, LIMITED (THE)",1928-02-14,1933-08-02,"Private, ltd by shares"
64,0000828,"WINSON &amp; COMPANY LIMITED",1928-09-08,1932-01-29,"Private, ltd by shares"
65,0000834,"WO SHING COMPANY LIMITED (THE)",1928-10-11,1976-11-20,"Private, ltd by shares"
66,0000829,"YAT TUNG COMPANY, LIMITED (THE)",1928-09-14,1956-02-17,"Private, ltd by shares"
67,0000808,"YEE ON LAND INVESTMENT COMPANY, LIMITED",1928-05-05,1956-02-17,"Private, ltd by shares"
68,0000795,"YU KEE STEAMSHIP COMPANY, LIMITED",1928-03-01,1930-04-15,"Private, ltd by shares"
69,0000818,"YU YUEN HOP KEE STEAMSHIP COMPANY LIMITED",1928-07-23,1956-02-17,"Private, ltd by shares"
70,0000842,"YUE TAK LAND INVESTMENT AND LOAN COMPANY, LIMITED (THE)",1928-11-16,1950-07-07,"Private, ltd by shares"
