,Reg no.,Name,Incorp-orated,Dissolved,Type
1,2793929,"DINESH 1 LIMITED",2019-02-03,2020-09-04,"Private, ltd by shares"
2,2793930,"DINESH 2 LIMITED",2019-02-03,2020-09-04,"Private, ltd by shares"
3,2793931,"DINESH 3 LIMITED",2019-02-03,2020-09-18,"Private, ltd by shares"
4,2793928,"EverFortune Family Office Limited
恒瑞家族辦公室有限公司",2019-02-03,,"Private, ltd by shares"
5,2793922,"GOSIK 1 LIMITED",2019-02-03,2020-09-25,"Private, ltd by shares"
6,2793923,"GOSIK 2 LIMITED",2019-02-03,2020-10-23,"Private, ltd by shares"
7,2793924,"GOSIK 3 LIMITED",2019-02-03,2020-09-04,"Private, ltd by shares"
8,2793925,"GOSIK 4 LIMITED",2019-02-03,2020-08-28,"Private, ltd by shares"
9,2793926,"GOSIK 5 LIMITED",2019-02-03,2020-09-04,"Private, ltd by shares"
10,2793927,"GOSIK 6 LIMITED",2019-02-03,2020-09-25,"Private, ltd by shares"
