,Reg no.,Name,Incorp-orated,Dissolved,Type
1,1695172,"ACEBIX LIMITED",2012-01-01,2017-03-31,"Private, ltd by shares"
2,1695173,"CAPITALINK (HONG KONG) LIMITED",2012-01-01,2018-08-10,"Private, ltd by shares"
3,1695166,"Clemente Shipping (HK) Limited",2012-01-01,2018-11-23,"Private, ltd by shares"
4,1695167,"FIRSTLINK NETWORK LIMITED",2012-01-01,,"Private, ltd by shares"
5,1695171,"GLOBIZ NETWORK LIMITED",2012-01-01,2018-01-19,"Private, ltd by shares"
6,1695168,"IMPEST GLOBAL LIMITED",2012-01-01,2018-08-10,"Private, ltd by shares"
7,1695165,"Lydell Design Studio Limited",2012-01-01,2014-07-18,"Private, ltd by shares"
8,1695169,"PROGRACE ASIA LIMITED",2012-01-01,,"Private, ltd by shares"
9,1695164,"S.Y.H ENTERPRISE LIMITED",2012-01-01,,"Private, ltd by shares"
10,1695170,"TOPLEX INVESTMENTS LIMITED",2012-01-01,2016-01-29,"Private, ltd by shares"
